Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,FatigueLevel,Performance.Task
0.0012114642,0.0197932787,0.0185877507,-0.086162693,0.0355959888,-0.0048291538,0.0214185878,-0.0189913044,3,1
0.0002619363,0.0711092609,0.076768233,-0.1047897647,0.0174414896,0.0046329864,-0.0147012236,0.0567665097,3,1
0.0271068269,0.0817790275,0.0886249273,-0.0822253668,0.0080505699,0.0108310769,0.047597163,0.0431487528,4,1
0.0053188685,-0.0213412251,-0.0085484309,-0.0996027343,-0.0062636145,0.0058808686,0.0538993775,-0.0083555312,4,1
0.0195675002,0.031678537,0.0410379294,-0.0838189937,0.0079920515,0.0212747267,-0.0138624893,0.1087453142,5,1
0.0186678677,0.0264677019,0.0301767578,-0.0891025103,-0.0109921551,0.0107767677,0.0576879454,-0.0175461342,4,1
0.0864034627,0.0099218731,0.0043298358,-0.0366470776,0.1509648681,0.0142631393,0.0304885442,0.031982601,4,1
0.010040935,0.0153430006,0.0206008192,-0.0830277526,0.104417495,0.000858153,-0.0037537663,0.0414182933,4,1
0.0009320876,0.0480292401,0.0524185005,-0.083836281,0.0065690906,0.0071933367,-0.0064585093,0.0515254396,3,1
0.00950287,-0.0032483101,0.0016166638,-0.0987336963,0.0455229269,0.0048734109,0.0015405761,0.0243963596,3,1
0.0060780604,0.0161103529,0.0213705649,-0.0651588712,0.0276263763,0.0149060571,-0.0072840954,0.069199188,4,1
0.0010128114,-0.0623428103,-0.0436848519,-0.0878162129,-0.0644266383,-0.0185050767,-0.0039833523,-0.07536269,3,1
0.0036048197,0,0.0163961076,-0.0611463321,-0.0253007761,-0.0139563144,-0.0021800541,-0.0525758435,4,1
0.0049954299,0.0165368289,0.0200448498,-0.0717255509,0.0406340593,-0.0001413028,0.0065977836,0.0051541401,5,1
-0.0002056621,0.0191041736,0.0280114513,-0.0974251811,0.0333230744,-0.0067995861,0.0149190624,0.0056416766,5,1
-0.0003240493,0.0961156833,0.0899421412,-0.0980170168,0.0236181699,-0.0108159208,-0.0243451092,-0.0429924699,4,1
0.0098172608,0.0677679362,0.0643807392,-0.0799743603,-0.0121722979,-0.0092774647,0.0227657954,-0.0247214042,1,1
0.0532927698,-0.042802298,-0.0293934493,-0.0522355483,0.0684441276,-0.0011189228,0.0265283644,-0.0073933545,2,1
0.0914913517,0.0539829804,0.0637798427,-0.057208198,0.2081925751,0.0147791228,0.0490645559,-0.0002837565,2,1
0.066998136,0.0029787824,0.0065160134,-0.0664016079,0.0355224646,-0.0073120674,0.0113137604,-0.0393225246,2,1
0.0006116518,0.0091674651,0.0091545461,-0.084152202,-0.0190136933,-0.0089229527,-0.0233794857,-0.0137803432,2,1
0.0043111994,0.0624659252,0.0646273523,-0.0870660076,-0.037147617,0.0166208711,-0.0048730907,0.0476047687,3,1
-0.0018390039,-0.0841585021,-0.0733255193,-0.1035816341,0.0112167763,0.0512729824,-0.0051241172,0.1345801364,3,1
0.0017579917,-0.0744932787,-0.0582777107,-0.0895605811,-0.040750194,-0.004234015,-0.0258863366,-0.008728561,3,1
0.0010560437,0.0207364975,0.0199561585,-0.0834190909,0.0644334432,0.0417515138,-0.0013844947,0.1078039132,3,1
0.0004580446,0.004169093,0.0148162742,-0.1059348547,-0.0257275687,0.0026383277,0.0138220048,0.0141767434,4,1
-0.0008766811,-0.009615807,-0.002504387,-0.0970292113,0.202705609,0.0087623856,-0.0257202016,0.0454233773,4,1
0.0028693444,0.0742099315,0.0667695676,-0.0885801277,0.0156381131,0.0192862353,0.0407969806,0.0403123669,4,1
-0.0005590238,0.1377147925,0.1337845856,-0.1028711794,0.137954046,-0.0022512253,-0.0298928843,0.0052780592,3,1
0.0989762315,0.1697247564,0.1557024512,-0.0734235851,0.1092868286,0.115429262,0.0415847183,0.3231189402,3,1
0.0017769603,0.0475096869,0.0483795794,-0.099514021,-0.0041864237,0.0355351051,0.0007879273,0.2375705149,4,1
-1.70093129798098E-005,0.0561891751,0.0672264705,-0.1027754322,-0.0119219308,-0.0057615996,0.0096392745,-0.034727204,2,1
0.175984528,-0.005648886,-0.0050423693,-0.0796803731,0.0266456551,-0.0068535311,-0.0249702613,-0.0259560412,2,1
